CNTSTUID,ST001D01T,AGE,ST004D01T,IMMIG,ST082Q01NA,ST082Q02NA,ST082Q03NA,ST082Q08NA,ST082Q09NA,ST082Q12NA,ST082Q13NA,ST082Q14NA,ST034Q02TA,ST034Q05TA
12405243,10,15.83,1,1,3,4,3,4,3,3,3,2,3,3
12419928,10,16.08,1,1,3,3,3,3,2,3,2,3,2,2
12421179,10,16.33,1,1,2,3,3,3,3,3,3,3,2,2
12424214,10,15.42,1,1,3,3,3,4,4,3,3,2,2,2
12416683,10,16.08,1,1,3,3,3,2,4,3,3,3,3,2
12412726,10,15.92,1,1,4,3,3,3,4,4,4,4,2,2
12400239,10,16.08,1,1,3,3,3,4,3,4,3,3,3,2
12427815,10,16,1,1,3,3,3,3,3,3,3,3,2,2
12427041,10,15.58,1,1,4,4,4,4,4,4,4,4,2,2
12417975,10,16.17,1,1,2,3,3,3,3,2,2,3,2,2
12400986,10,16,1,999,3,3,3,3,3,3,3,3,2,2
12424071,10,15.5,1,1,3,3,3,3,3,3,3,3,2,2
12424966,10,16.08,1,1,3,3,3,3,3,3,3,3,2,2
12411604,10,15.42,2,1,2,3,3,3,2,3,2,3,2,2
12404387,10,15.58,2,1,1,2,1,1,1,1,1,1,4,4
12400654,10,15.5,2,2,4,3,3,3,3,3,4,3,2,2
12414298,10,15.83,2,1,1,1,1,1,1,1,1,1,1,1
12401318,10,15.83,2,1,2,2,2,2,2,2,2,2,2,2
12428914,10,16.33,2,1,1,3,1,1,1,1,1,2,2,2
12427362,10,16.08,2,1,1,3,3,3,2,3,2,3,2,2
12430304,10,15.42,2,1,3,3,3,3,3,3,3,3,2,2
12406902,10,16.25,2,999,3,2,2,3,3,3,3,3,4,3
12424875,10,16.33,2,1,2,3,3,3,2,3,3,3,2,2
12414464,10,15.5,2,1,4,4,4,4,4,4,4,4,4,4
12427150,10,15.67,2,1,3,3,3,3,3,3,3,999,2,2
12405860,10,15.42,2,1,3,3,3,3,3,3,3,3,2,2
12428643,10,16.17,2,1,2,3,2,2,1,1,2,3,2,3
12415802,10,15.67,2,1,2,3,1,2,1,2,2,3,1,1
12408646,10,15.75,2,1,2,2,2,3,3,2,2,3,1,2
12416758,10,15.58,1,1,3,3,3,2,3,3,3,3,3,2
12427967,10,16,1,1,999,999,999,999,999,999,999,999,999,999
12411544,10,15.75,1,999,999,999,999,999,999,999,999,999,999,999
12423371,10,15.42,1,1,3,2,3,3,3,3,3,3,3,2
12421813,10,16.08,1,1,4,3,2,3,3,3,3,2,2,2
12421838,10,16.08,1,1,2,3,3,3,2,3,2,3,3,2
12408848,10,16.17,1,1,3,3,3,3,3,3,3,3,2,2
12428170,10,15.5,1,1,3,3,3,2,4,3,999,999,3,3
12415869,10,15.75,1,1,999,999,999,999,999,999,999,999,999,999
12400614,10,16.25,1,1,3,4,3,3,2,3,3,3,1,2
12401011,10,16.33,1,999,2,3,3,3,3,3,3,3,2,2
12411195,10,15.5,1,1,2,3,3,3,3,3,3,3,2,2
12410461,10,15.83,2,1,3,3,3,3,3,3,3,3,2,2
12429937,10,16.17,2,1,4,3,2,2,2,3,2,3,2,2
12409618,10,16.33,2,1,3,3,3,3,3,3,3,3,2,2
12403236,10,15.83,2,1,2,3,2,3,3,3,2,3,1,2
12404485,10,15.58,2,1,3,3,3,3,3,3,3,3,2,2
12405959,10,16.25,2,1,3,3,3,4,3,3,3,3,2,2
12405657,10,16,2,1,4,4,4,4,4,4,999,4,2,2
12429601,10,15.92,2,1,1,3,3,3,2,3,2,3,2,2
12420405,10,16.33,2,1,3,3,3,3,3,3,3,3,2,2
12402548,10,16.25,2,1,3,3,2,999,4,4,3,4,3,3
12427834,10,15.75,2,1,3,3,3,3,3,3,3,3,2,2
12425623,10,16,2,1,2,3,3,2,3,3,2,3,2,2
12402168,10,15.67,2,3,3,3,3,3,3,3,3,3,2,2
12423062,10,16.17,2,1,4,2,2,3,3,3,3,3,1,1
12408362,9,15.33,1,1,2,3,3,3,3,3,1,3,3,2
12426956,9,15.5,1,1,3,4,4,4,4,4,4,4,999,2
12424721,9,15.67,1,3,2,3,3,2,4,3,4,4,3,2
12425950,9,15.33,1,1,3,3,3,3,3,3,3,3,2,2
12413493,9,15.33,2,1,2,3,3,3,3,3,3,3,2,2
12429846,9,15.67,2,1,3,3,3,3,3,3,3,999,2,2
12429858,9,15.5,2,1,3,2,3,3,3,2,3,4,2,2
12429619,9,15.67,2,3,3,3,4,4,3,4,3,4,1,2
12400188,9,15.58,2,1,3,2,4,3,3,3,4,4,3,2
12422721,9,16,2,3,3,3,3,3,3,3,3,3,2,2
12408918,9,15.58,2,1,4,2,4,4,4,4,4,4,1,1
12401614,9,15.5,2,3,1,4,3,2,1,2,1,1,1,2
12412306,9,15.83,2,1,3,4,4,4,4,4,4,4,999,2
12401513,9,15.42,1,1,3,3,3,3,3,3,4,3,2,2
12430134,9,15.5,1,1,4,3,3,4,4,4,3,4,2,2
12414584,9,15.67,1,1,3,4,3,3,2,3,3,3,2,2
12424994,9,15.67,2,999,999,999,999,999,999,999,999,999,999,999
12400626,10,16,1,1,3,3,3,3,3,2,3,3,2,2
12402241,10,15.58,1,1,1,4,4,4,3,3,2,4,2,2
12417963,10,15.5,1,1,1,3,3,3,3,3,2,3,1,2
12421998,10,16,1,1,3,3,4,3,3,3,3,4,2,2
12417502,10,16.25,1,1,2,4,3,4,3,4,2,3,2,2
12403393,10,15.92,1,1,3,3,4,4,3,4,4,4,2,2
12426932,10,16.17,1,1,3,3,3,3,3,3,3,3,3,2
12407282,10,15.5,1,1,1,2,3,3,2,3,1,2,4,3
12418730,10,15.92,2,1,3,3,3,3,4,2,3,3,2,2
12426794,10,15.92,2,1,1,3,2,1,2,3,1,1,4,2
12409173,10,16.25,2,999,999,999,999,999,999,999,999,999,999,999
